gold_left,level,total_damage_to_players,players_eliminated,num_traits,placement
0,8,51,0,5,0
0,9,67,0,3,0
11,10,164,1,9,1
1,10,182,3,10,1
4,8,119,1,6,1
5,7,99,0,7,0
2,9,135,2,8,1
2,8,74,0,7,0
0,9,117,1,3,1
4,8,70,0,5,0
7,8,100,0,7,0
10,9,108,2,9,1
0,8,123,1,4,1
8,9,87,0,8,0
5,10,225,4,5,1
1,8,98,0,7,0
11,7,71,1,4,0
1,10,153,3,7,1
1,8,119,1,6,1
0,7,55,0,7,0
2,9,148,3,9,1
5,8,126,2,7,1
2,8,34,1,4,1
1,8,24,0,6,0
0,8,85,1,5,1
0,8,91,2,6,0
1,9,46,0,4,0
1,7,89,1,7,1
4,9,113,1,8,1
1,8,89,0,3,0
7,9,83,0,7,0
5,9,134,3,4,1
3,7,53,0,3,0
138,6,21,0,2,0
3,7,27,0,5,0
2,8,57,1,5,0
1,8,148,5,5,1
5,9,85,0,7,0
5,8,111,0,6,1
7,8,108,1,5,1
11,8,61,0,6,0
2,8,117,0,7,1
11,8,42,0,7,0
1,7,112,0,4,1
2,10,149,1,5,1
0,9,32,0,6,0
5,9,159,2,7,1
2,9,164,4,8,1
0,9,150,0,8,1
3,8,12,0,3,0
37,8,65,0,8,0
12,9,134,0,6,1
11,10,192,3,8,1
6,9,108,0,4,0
1,8,60,0,6,0
0,8,43,0,7,0
2,9,145,1,7,0
0,9,161,1,3,1
0,9,130,2,8,1
5,8,42,0,4,0
2,8,129,1,5,1
1,9,136,2,7,1
25,8,188,2,8,1
6,7,54,0,2,0
6,7,92,0,7,1
4,10,165,2,7,1
3,10,142,2,9,1
0,8,152,1,6,1
0,8,74,0,5,0
0,8,107,0,5,0
7,9,167,1,10,1
0,8,92,0,5,1
19,7,93,0,5,0
1,8,66,0,4,0
2,8,21,0,4,0
1,8,102,1,4,1
1,7,37,0,5,0
10,8,96,0,6,0
6,9,92,3,7,1
2,9,156,3,4,1
1,9,83,1,4,1
9,9,16,0,9,0
2,8,80,0,8,0
4,8,59,0,5,1
1,9,104,1,6,1
0,9,107,1,6,1
1,8,92,0,7,1
8,8,195,3,5,1
44,8,85,0,10,0
7,9,171,2,4,1
2,9,147,1,5,1
1,9,231,4,8,1
12,9,184,4,8,1
6,9,114,2,8,1
0,8,138,2,2,1
11,9,195,2,7,1
12,8,116,1,6,1
0,9,69,0,5,0
14,8,54,0,8,0
0,7,36,0,5,0
1,6,86,1,4,0
5,8,92,1,8,0
0,9,162,2,4,1
5,9,186,3,8,1
0,7,70,0,5,0
7,7,123,2,7,1
0,6,65,0,7,0
5,9,113,1,8,1
8,9,139,3,9,1
4,9,194,3,6,1
1,8,94,0,4,0
6,10,115,0,9,1
0,8,62,0,6,0
3,9,227,3,10,1
3,7,38,0,3,0
0,9,109,2,8,1
1,7,64,0,2,0
7,8,44,0,5,0
5,8,54,0,7,0
0,9,168,1,6,1
0,8,73,0,4,0
1,10,188,3,7,1
2,9,119,1,8,0
12,8,69,0,2,0
3,9,183,3,6,1
0,8,84,0,6,0
6,9,136,1,8,1
1,8,101,1,8,1
4,8,88,1,5,0
2,9,178,2,8,1
1,8,75,0,3,0
1,8,149,2,6,1
5,9,122,0,5,1
1,8,119,1,8,1
31,8,111,0,5,1
5,9,152,1,8,1
2,9,109,0,6,1
3,8,68,0,8,0
1,7,50,0,3,0
9,10,239,3,5,1
2,9,142,4,6,1
42,8,56,0,5,0
16,8,71,0,2,0
0,9,49,0,4,0
5,9,112,1,9,1
4,9,154,1,8,1
1,10,160,4,7,1
3,9,91,0,7,0
1,9,164,1,6,1
7,8,148,1,5,1
0,9,46,0,5,0
2,8,53,1,6,0
3,7,61,0,3,0
5,9,153,1,8,1
1,8,103,1,5,1
10,8,86,0,7,0
1,8,105,1,5,1
0,9,82,3,7,1
0,8,62,0,5,0
1,9,184,1,6,1
47,8,14,0,5,0
1,9,92,2,5,1
1,8,51,0,5,0
8,8,99,0,6,1
0,9,93,0,7,1
12,7,108,2,7,1
9,9,83,0,7,0
12,8,54,0,4,0
1,9,107,1,8,0
0,9,62,0,8,0
0,8,50,0,7,0
0,8,78,0,7,0
66,8,60,0,8,0
0,8,53,0,5,1
5,8,72,0,6,0
18,8,68,2,5,1
3,9,112,0,5,0
2,8,74,0,5,0
1,8,116,0,6,1
2,9,69,0,8,0
0,7,35,0,4,0
5,9,171,1,7,1
4,8,56,0,5,0
5,8,69,1,5,1
26,8,51,0,3,0
30,7,35,0,4,0
6,8,111,1,4,1
20,8,91,1,4,0
26,9,166,3,7,1
0,9,82,1,7,0
1,8,56,0,7,0
2,8,89,1,6,0
2,9,160,0,8,1
11,7,78,0,5,0
0,8,60,0,0,0
21,8,30,0,4,0
2,7,71,1,3,0
4,8,133,3,3,1
10,8,116,0,5,1
2,8,53,0,8,0
1,8,74,0,6,0
0,8,63,0,3,0
1,8,94,0,6,1
1,8,62,0,5,0
0,10,152,2,9,1
4,9,176,4,9,1
0,8,91,0,5,0
20,8,117,0,4,1
2,7,94,5,3,1
9,8,92,2,7,1
4,9,104,0,7,1
0,8,163,2,4,1
4,10,172,2,10,1
3,8,154,1,5,1
1,8,80,1,4,1
1,8,98,1,6,1
4,8,53,0,7,0
1,7,64,0,6,0
4,9,90,0,9,0
5,9,66,0,6,0
0,7,44,0,2,0
0,9,124,1,5,1
4,8,47,1,5,1
0,7,77,0,5,0
0,8,71,0,4,0
40,5,0,0,3,1
2,8,123,0,6,1
3,8,101,0,3,1
0,8,83,0,6,0
1,8,117,2,0,1
10,9,57,0,8,0
2,8,70,0,6,0
2,9,109,0,7,1
3,9,102,1,7,1
0,8,100,0,6,0
0,8,137,2,5,1
1,7,86,1,5,0
10,8,16,0,5,0
3,8,17,0,8,0
1,8,105,0,6,1
2,9,134,2,6,1
0,8,55,0,8,0
1,9,193,1,8,1
0,8,92,0,4,1
0,9,119,0,7,1
1,9,102,1,5,1
3,8,74,0,7,0
11,8,63,0,3,0
5,9,209,4,5,1
3,9,54,0,5,0
0,9,106,1,6,0
2,9,129,2,8,1
1,8,58,0,6,0
1,7,52,0,4,0
1,9,135,2,6,1
2,8,58,0,6,0
8,9,89,4,7,1
1,8,29,0,5,0
1,9,202,4,7,1
3,10,0,0,4,1
1,8,52,0,8,0
0,8,104,1,6,1
7,8,85,1,4,1
0,8,130,1,5,1
1,9,126,0,6,1
14,8,116,1,6,1
23,8,119,1,4,1
6,9,160,3,7,1
3,9,122,0,5,1
2,9,125,3,6,1
4,9,62,0,9,0
0,8,72,0,8,0
0,8,121,2,5,1
0,10,159,1,7,1
23,7,101,1,8,1
3,9,178,2,7,1
57,8,100,0,3,1
0,8,89,0,8,1
0,9,83,0,7,0
0,9,85,1,7,0
18,8,95,0,5,1
0,9,104,0,7,0
0,8,124,1,8,1
1,8,64,0,7,0
0,8,45,0,7,0
0,9,122,1,8,1
12,10,165,2,7,1
30,7,114,0,7,1
11,7,50,0,5,0
3,8,190,4,6,1
3,8,135,2,8,1
3,8,134,1,5,1
3,8,75,0,4,0
1,8,89,0,6,1
1,8,155,2,6,1
0,8,95,0,6,1
0,8,87,0,6,1
1,8,91,0,8,0
26,9,151,1,7,1
1,9,175,2,6,1
1,9,124,1,8,1
1,9,124,1,10,1
3,9,170,1,8,1
39,8,90,0,5,0
0,7,68,0,3,0
2,8,50,0,8,0
30,9,31,0,6,0
2,7,64,0,7,0
5,9,68,0,10,0
4,6,59,0,7,0
2,8,133,1,5,1
2,9,72,0,8,0
30,8,26,0,5,0
4,8,6,0,6,0
0,9,94,0,6,0
1,9,160,1,7,1
1,9,116,1,6,1
48,8,194,3,8,1
17,9,216,3,7,1
7,10,173,2,4,1
1,9,112,0,3,1
50,4,0,0,1,1
1,8,110,2,5,1
18,10,164,4,10,1
5,7,56,0,4,0
0,10,165,3,4,1
0,9,87,0,5,1
0,7,102,1,2,0
1,9,94,0,3,0
0,10,141,2,8,1
2,7,81,0,4,0
1,8,88,0,3,0
0,8,21,0,3,0
2,7,43,0,6,0
2,9,125,1,6,1
2,8,83,0,3,0
1,8,110,2,6,1
41,8,106,1,5,1
52,8,56,0,5,0
35,7,50,2,4,1
14,8,125,0,8,1
1,8,67,0,3,0
1,8,110,1,6,1
0,9,101,0,8,0
13,8,115,1,3,1
2,8,65,1,7,0
2,9,193,2,4,1
10,8,80,0,5,0
25,8,139,0,6,1
2,9,134,2,6,1
1,8,51,0,6,0
1,8,69,1,3,0
1,8,120,1,5,1
4,8,161,5,4,1
1,9,203,3,9,1
3,9,24,1,5,1
1,6,19,0,5,0
11,8,63,0,7,0
4,9,218,3,7,1
1,8,74,1,7,0
2,6,78,0,5,0
1,9,147,2,8,1
0,9,122,2,6,1
1,9,74,0,7,0
1,8,91,1,5,1
0,8,86,0,3,0
0,7,142,0,7,1
0,8,136,2,5,1
43,8,53,0,3,0
0,8,90,1,4,1
5,8,137,3,5,1
15,8,63,0,8,0
64,8,53,0,5,0
0,8,71,0,7,0
0,8,88,1,5,1
11,8,57,0,4,0
2,8,92,0,7,0
0,8,61,0,4,0
0,7,80,0,5,0
3,7,67,0,5,0
0,9,153,3,8,1
1,8,57,0,4,0
1,8,0,0,6,0
1,10,194,1,5,1
1,8,97,0,7,1
14,6,27,0,1,0
0,9,152,2,8,1
3,7,45,0,5,0
1,10,226,2,8,1
4,8,125,0,5,1
0,9,109,0,8,1
1,9,103,1,7,1
16,8,104,2,6,1
1,7,73,0,7,0
7,8,80,0,7,0
10,8,97,1,4,1
2,7,59,0,5,0
1,8,68,0,8,0
32,9,23,1,9,0
41,8,78,0,8,1
1,8,66,0,6,0
1,8,90,0,5,0
3,9,132,2,5,1
1,6,39,0,5,0
0,9,77,0,7,1
4,9,153,0,7,1
1,9,152,3,5,1
0,9,132,2,9,1
44,8,80,0,5,0
1,8,77,1,5,1
11,9,82,1,6,0
0,8,63,0,6,0
13,9,148,1,7,1
0,8,101,0,3,1
34,8,158,2,5,1
0,8,56,0,5,0
0,8,41,0,4,0
0,8,51,0,6,0
3,9,52,0,5,0
0,8,115,1,7,1
7,10,171,1,7,1
0,7,68,0,5,0
5,9,131,1,9,1
16,8,84,1,7,1
11,9,114,1,8,1
4,8,94,1,5,0
8,8,63,0,4,0
4,8,77,0,2,0
14,8,115,2,7,1
42,7,34,0,4,0
1,8,56,0,5,0
3,7,76,0,5,1
0,9,100,0,9,1
9,8,47,0,4,0
32,8,48,0,7,0
34,9,209,3,9,1
0,9,86,0,8,0
1,9,115,1,9,1
3,8,57,0,6,0
0,9,166,1,6,1
2,8,88,0,4,0
0,9,100,1,6,0
0,7,20,0,2,0
0,8,118,1,5,1
1,8,54,0,5,0
9,8,89,0,6,1
1,8,31,0,4,0
2,9,130,1,7,1
0,9,71,0,5,0
42,8,73,0,4,0
1,9,127,1,5,1
3,8,72,0,4,0
9,8,100,0,7,0
2,9,34,0,10,0
0,9,51,0,6,0
1,8,73,0,7,0
1,9,197,2,3,1
5,8,154,0,4,1
3,8,56,0,7,0
4,9,155,1,10,1
3,8,93,0,8,0
14,8,85,1,5,0
9,8,100,1,6,0
3,8,28,0,9,0
33,9,151,2,5,1
5,9,67,0,9,0
5,9,147,1,5,1
3,8,55,0,7,0
12,8,9,0,5,0
2,9,155,2,8,1
2,8,52,0,6,0
0,8,50,0,5,0
0,10,194,2,6,1
1,9,121,2,6,1
4,9,151,1,8,1
30,8,42,0,4,0
4,9,93,0,6,1
0,9,138,1,5,1
1,7,63,1,5,0
3,9,96,1,5,1
6,8,48,0,6,0
14,9,114,2,8,1
0,7,63,0,4,0
8,9,144,3,6,1
0,8,135,3,7,1
0,8,121,1,6,1
4,8,9,0,7,0
1,8,59,0,6,0
5,8,83,1,5,0
7,8,138,3,6,1
5,8,75,2,4,0
0,9,100,1,9,1
1,8,50,0,7,0
2,9,198,1,7,1
5,9,110,0,8,1
1,8,131,0,3,1
0,8,41,0,8,0
14,8,178,2,6,1
14,8,52,0,7,0
31,7,17,0,6,0
11,8,70,0,5,0
2,9,74,0,7,0
0,8,161,2,4,1
0,9,83,0,4,0
1,9,114,0,1,1
2,9,145,2,8,1
6,10,261,2,6,1
1,8,116,0,3,1
1,8,112,0,2,1
0,8,101,0,2,1
12,8,119,0,5,1
5,9,75,0,7,0
2,9,47,0,10,0
0,7,43,0,3,0
2,9,64,1,6,0
5,10,28,2,8,1
22,7,80,0,5,0
14,9,198,2,5,1
3,9,129,1,5,1
0,8,107,0,4,0
0,9,112,1,5,1
1,8,99,1,5,0
4,7,66,0,3,1
0,7,54,0,4,0
0,8,81,0,7,0
1,10,230,4,8,1
2,8,26,0,7,0
0,9,74,0,7,0
2,8,60,0,3,0
1,8,92,0,9,1
1,9,95,0,6,1
5,10,166,3,7,1
43,9,133,2,10,1
2,9,158,2,7,1
1,8,57,2,8,0
32,8,38,0,4,0
1,8,31,0,5,0
12,8,89,0,6,0
1,8,43,1,5,1
0,10,40,1,6,1
1,8,66,0,3,0
4,9,58,1,6,0
2,9,151,2,6,1
10,7,80,0,5,0
23,8,105,1,7,1
7,9,85,1,6,0
3,7,49,0,2,0
0,9,86,1,5,1
2,9,48,0,6,0
1,8,80,0,7,1
8,10,194,4,8,1
0,9,71,0,8,0
53,8,71,3,4,1
1,9,166,3,7,1
24,7,84,0,6,1
3,8,83,0,6,1
10,8,137,2,6,1
10,8,19,0,5,0
37,8,51,0,6,0
4,9,104,0,6,1
0,9,113,0,8,0
1,9,86,1,4,0
1,9,193,1,9,1
0,8,108,0,6,1
5,8,98,1,4,1
31,8,69,0,6,0
1,8,70,0,4,1
1,4,0,0,7,1
1,8,74,0,3,0
0,7,71,0,2,0
25,7,22,0,4,0
5,8,24,0,5,0
1,8,12,0,5,0
2,9,165,2,5,1
1,8,51,0,3,0
3,9,116,0,6,0
1,9,159,2,8,1
3,9,96,1,8,1
20,6,15,0,3,0
4,9,48,0,5,0
2,9,155,1,4,1
6,7,124,1,5,1
0,9,94,0,4,0
0,9,74,0,4,0
18,7,63,0,4,0
33,8,90,1,6,1
1,8,67,0,6,0
39,8,36,0,4,0
33,8,111,1,5,1
0,9,101,0,7,1
0,8,129,1,5,1
1,9,100,1,8,1
4,9,62,0,8,0
8,8,129,2,7,1
1,8,145,0,6,1
2,8,21,0,7,0
2,9,195,4,6,1
1,8,78,0,4,0
10,9,87,0,5,0
4,9,151,2,5,1
12,8,219,2,7,1
39,8,92,0,7,0
1,9,100,1,8,1
0,8,39,0,3,0
4,9,118,3,5,1
2,8,139,1,0,1
14,8,116,0,7,1
38,8,73,0,7,1
1,9,126,1,6,1
16,7,132,2,3,1
2,8,96,1,6,1
0,9,87,1,8,1
10,9,90,0,6,0
1,9,145,1,8,1
1,9,166,1,8,1
0,7,34,0,7,0
2,9,121,2,7,1
2,9,33,0,4,1
15,7,98,2,3,1
0,7,37,0,4,0
1,8,130,3,7,1
0,8,44,0,3,0
4,10,185,2,8,1
1,8,41,1,7,1
5,9,167,2,5,1
4,9,238,2,5,1
0,7,60,1,5,0
3,8,8,0,5,0
16,8,108,1,5,1
5,8,57,0,6,1
53,8,107,0,5,0
3,8,34,1,4,1
21,8,49,0,8,0
1,8,27,0,6,0
3,8,76,0,4,0
2,9,151,3,7,1
1,10,170,1,5,1
4,8,106,1,6,1
1,8,19,0,6,0
1,8,37,0,6,0
3,9,118,3,9,1
2,7,55,0,1,0
1,9,81,0,9,0
0,7,52,0,6,0
0,8,54,0,6,0
2,9,176,0,9,1
6,7,76,0,5,0
0,7,68,0,2,0
1,8,71,0,6,0
9,9,227,3,7,1
48,8,160,2,6,1
11,8,156,4,6,1
14,8,122,0,8,1
7,9,141,2,4,1
0,8,125,1,6,1
0,8,127,1,4,1
5,7,72,0,5,1
13,9,112,0,4,1
7,7,82,1,7,0
16,9,47,1,5,1
0,8,82,0,4,0
0,8,70,0,5,0
33,8,110,0,6,1
11,8,53,0,6,0
4,8,144,2,4,1
1,9,78,0,8,0
14,8,105,0,8,1
0,8,72,0,5,0
14,8,82,1,5,1
1,8,171,2,5,1
1,9,111,2,7,1
1,8,53,0,5,0
1,8,71,0,3,0
1,8,110,0,5,1
1,9,132,2,6,1
0,7,65,0,4,0
1,8,56,0,6,0
15,7,114,1,7,1
0,9,60,0,8,0
12,10,192,3,7,1
0,8,62,0,4,0
0,8,103,2,10,0
55,8,212,2,6,1
0,9,90,0,6,1
6,8,66,0,5,0
5,6,55,0,5,0
27,9,134,1,8,1
1,9,122,1,8,1
31,9,178,3,5,1
3,7,39,0,5,0
0,7,80,0,7,0
11,8,58,0,6,0
7,9,195,2,5,1
1,10,164,2,9,1
0,8,51,0,4,0
1,8,89,0,5,0
7,9,125,1,4,1
2,6,63,0,4,0
0,8,94,0,5,0
6,9,136,3,8,1
2,8,123,2,5,1
1,8,120,2,5,1
6,9,158,1,7,1
1,7,43,0,5,0
1,7,21,0,5,0
3,8,72,0,7,0
0,9,59,0,3,0
35,7,22,0,4,0
1,7,49,0,4,0
42,8,106,0,5,1
2,8,70,0,7,0
1,9,108,0,8,0
1,9,177,4,10,1
3,8,140,1,3,1
7,8,30,0,5,0
3,10,171,3,8,1
3,9,122,1,3,1
0,8,61,0,8,0
0,9,142,0,8,1
2,8,65,3,6,1
9,8,101,1,6,1
9,9,172,2,9,1
4,8,65,0,5,0
2,8,131,1,6,1
26,8,46,0,6,0
0,8,45,0,3,0
17,9,145,0,7,1
0,8,62,0,7,0
0,9,101,0,4,1
11,8,36,0,3,0
3,8,37,0,4,0
0,7,49,0,5,0
3,9,0,0,3,1
2,8,68,0,4,0
3,8,27,0,4,0
2,7,103,0,4,1
2,8,10,0,3,0
1,8,115,1,6,0
10,8,60,0,4,0
2,9,144,2,6,1
1,7,69,0,5,0
6,7,87,0,4,1
29,8,79,1,8,0
0,8,20,0,4,0
1,9,105,0,7,0
17,9,77,0,8,0
2,8,140,1,3,1
29,8,51,2,3,1
0,9,85,1,5,0
1,9,66,0,6,0
11,8,110,2,2,1
0,8,125,1,3,1
1,8,125,1,5,1
1,9,46,0,10,0
0,9,88,1,6,1
1,8,88,0,4,1
10,7,23,0,3,0
10,8,83,1,4,1
1,9,83,0,6,0
8,9,125,0,4,1
12,9,139,1,8,1
0,9,87,0,8,0
1,8,90,0,5,1
1,8,59,0,3,0
0,8,78,0,5,0
12,7,99,1,5,1
3,7,37,0,4,0
0,8,105,0,5,1
14,7,36,0,6,0
5,8,62,0,5,0
17,8,72,0,3,0
5,8,75,1,4,1
1,10,130,4,8,1
0,9,106,1,8,1
6,9,158,2,5,1
5,7,67,0,6,0
14,8,130,0,9,1
13,8,76,1,7,0
2,9,85,0,6,0
0,8,83,0,4,1
49,8,75,0,9,0
0,9,74,0,8,0
43,8,113,1,8,1
4,8,67,0,8,0
48,8,88,0,6,0
7,9,147,1,6,1
36,8,105,1,3,1
15,8,110,0,6,1
42,9,69,0,7,0
19,9,182,2,8,1
0,8,80,1,7,0
0,8,74,0,6,1
3,9,118,2,5,0
0,9,124,2,5,1
2,9,153,4,9,1
10,8,88,0,4,1
31,8,191,3,6,1
3,8,32,0,6,0
4,9,91,0,8,0
24,9,79,1,8,0
13,10,206,3,9,1
3,8,52,0,5,0
0,7,32,0,5,0
0,8,66,0,2,0
1,8,61,0,6,0
1,8,108,0,5,1
1,9,146,2,7,1
1,8,135,1,1,1
3,8,161,2,5,1
4,7,47,0,5,0
3,9,184,1,8,1
5,9,206,4,9,1
0,9,78,1,5,0
5,9,114,1,8,1
1,8,98,1,6,0
1,9,174,2,5,1
2,9,158,2,8,1
22,9,193,2,6,1
1,8,67,1,4,0
1,9,216,4,7,1
5,8,46,0,4,0
0,8,76,1,6,0
0,8,79,0,6,0
3,8,92,0,6,0
0,8,0,0,8,0
0,8,119,0,5,1
2,8,81,0,4,0
3,8,137,3,4,1
52,8,141,2,5,1
3,8,109,2,8,1
0,7,0,0,9,1
0,9,164,1,10,1
6,6,78,0,5,0
5,8,113,0,3,0
0,9,148,2,6,1
1,9,174,2,10,1
1,7,26,0,3,0
1,8,96,0,4,0
1,9,141,1,8,1
1,9,87,0,7,1
8,8,97,0,7,0
23,8,164,2,4,1
1,9,116,1,8,1
5,10,93,1,8,0
7,9,116,2,4,1
1,8,120,0,6,0
1,9,171,3,7,1
0,9,127,0,6,1
1,9,78,0,9,0
5,9,103,1,6,1
0,7,99,0,3,0
0,8,77,0,6,1
5,9,77,0,5,0
0,8,59,0,3,0
0,8,97,1,8,1
22,7,23,0,4,0
15,8,39,0,6,0
1,8,60,0,4,0
5,9,108,1,5,1
6,9,141,2,6,1
0,9,27,0,7,0
1,9,144,0,5,1
1,8,50,0,4,1
1,9,152,1,7,1
35,7,35,0,3,0
1,8,75,0,4,0
10,7,74,1,4,0
6,8,78,0,6,0
1,10,204,2,6,1
0,9,117,0,8,1
16,8,177,2,5,1
0,9,80,0,10,0
1,7,65,0,6,0
25,8,131,0,6,1
4,9,123,2,2,1
3,9,40,0,8,0
3,7,19,0,4,0
6,8,54,0,5,0
3,9,143,2,7,1
0,9,75,1,5,0
3,10,196,3,8,1
10,9,155,1,6,1
2,8,59,0,5,0
1,8,147,0,8,1
7,8,105,1,1,1
1,7,47,0,3,0
1,9,189,3,8,1
5,9,117,0,9,1
5,7,80,1,3,0
11,9,133,1,3,1
40,9,199,4,6,1
2,9,109,1,6,1
17,8,72,0,6,0
14,8,63,0,6,0
15,8,152,3,4,1
1,8,166,1,6,1
0,8,56,0,8,0
18,8,109,0,5,1
11,8,94,1,4,1
1,7,43,0,7,0
0,9,92,1,7,0
0,9,93,1,6,0
10,9,96,0,8,1
10,9,120,0,5,0
16,8,182,2,7,1
3,10,28,3,6,1
33,8,131,2,6,1
3,9,149,3,8,1
3,8,94,0,5,1
2,8,118,1,5,1
0,8,121,1,9,1
34,8,110,0,7,1
11,8,82,0,7,0
11,7,85,1,2,0
2,9,176,2,8,1
1,9,163,4,5,1
0,8,118,1,5,1
0,8,100,0,6,0
1,8,108,1,5,0
41,9,162,1,9,1
1,8,117,1,5,1
1,8,67,0,3,0
2,9,201,4,4,1
3,9,143,1,7,1
1,9,146,1,7,1
3,8,39,0,6,0
4,9,143,0,4,1
1,9,147,2,5,1
0,7,49,0,5,0
36,8,164,3,4,1
27,8,141,1,5,1
1,8,49,0,6,0
1,7,155,3,7,1
2,8,130,0,0,1
0,7,111,1,5,1
1,9,50,0,7,0
6,7,93,0,4,0
2,9,82,1,6,1
